Epoch 1/100, Train Loss: 0.5146, Validation Loss: 0.4828
Epoch 2/100, Train Loss: 0.4143, Validation Loss: 0.4681
Epoch 3/100, Train Loss: 0.3694, Validation Loss: 0.4085
Epoch 4/100, Train Loss: 0.3289, Validation Loss: 0.3042
Epoch 5/100, Train Loss: 0.2987, Validation Loss: 0.2878
Epoch 6/100, Train Loss: 0.2807, Validation Loss: 0.2719
Epoch 7/100, Train Loss: 0.2632, Validation Loss: 0.3017
Epoch 8/100, Train Loss: 0.2539, Validation Loss: 0.2553
Epoch 9/100, Train Loss: 0.2411, Validation Loss: 0.2857
Epoch 10/100, Train Loss: 0.2297, Validation Loss: 0.2465
Epoch 11/100, Train Loss: 0.2238, Validation Loss: 0.2596
Epoch 12/100, Train Loss: 0.2126, Validation Loss: 0.2273
Epoch 13/100, Train Loss: 0.2075, Validation Loss: 0.2122
Epoch 14/100, Train Loss: 0.1946, Validation Loss: 0.2195
Epoch 15/100, Train Loss: 0.1875, Validation Loss: 0.2372
Epoch 16/100, Train Loss: 0.1788, Validation Loss: 0.2233
Epoch 17/100, Train Loss: 0.1763, Validation Loss: 0.2063
Epoch 18/100, Train Loss: 0.1649, Validation Loss: 0.2110
Epoch 19/100, Train Loss: 0.1578, Validation Loss: 0.2044
Epoch 20/100, Train Loss: 0.1503, Validation Loss: 0.2237
