Epoch 1/50, Train Loss: 0.5393, Validation Loss: 0.4824
Epoch 2/50, Train Loss: 0.4287, Validation Loss: 0.4007
Epoch 3/50, Train Loss: 0.3634, Validation Loss: 0.3884
Epoch 4/50, Train Loss: 0.3187, Validation Loss: 0.2999
Epoch 5/50, Train Loss: 0.2903, Validation Loss: 0.2892
Epoch 6/50, Train Loss: 0.2730, Validation Loss: 0.2724
Epoch 7/50, Train Loss: 0.2528, Validation Loss: 0.2718
Epoch 8/50, Train Loss: 0.2485, Validation Loss: 0.2445
Epoch 9/50, Train Loss: 0.2343, Validation Loss: 0.2301
Epoch 10/50, Train Loss: 0.2259, Validation Loss: 0.2357
Epoch 11/50, Train Loss: 0.2170, Validation Loss: 0.2337
Epoch 12/50, Train Loss: 0.2088, Validation Loss: 0.2216
Epoch 13/50, Train Loss: 0.2051, Validation Loss: 0.2163
Epoch 14/50, Train Loss: 0.1945, Validation Loss: 0.2217
Epoch 15/50, Train Loss: 0.1870, Validation Loss: 0.2065
Epoch 16/50, Train Loss: 0.1805, Validation Loss: 0.2116
Epoch 17/50, Train Loss: 0.1785, Validation Loss: 0.1988
Epoch 18/50, Train Loss: 0.1645, Validation Loss: 0.2042
Epoch 19/50, Train Loss: 0.1590, Validation Loss: 0.1945
Epoch 20/50, Train Loss: 0.1530, Validation Loss: 0.1840
Epoch 21/50, Train Loss: 0.1533, Validation Loss: 0.2137
Epoch 22/50, Train Loss: 0.1424, Validation Loss: 0.1927
Epoch 23/50, Train Loss: 0.1362, Validation Loss: 0.1910
Epoch 24/50, Train Loss: 0.1314, Validation Loss: 0.1949
Epoch 25/50, Train Loss: 0.1341, Validation Loss: 0.1912
Epoch 26/50, Train Loss: 0.1253, Validation Loss: 0.1874
Epoch 27/50, Train Loss: 0.1177, Validation Loss: 0.2035
Epoch 28/50, Train Loss: 0.1147, Validation Loss: 0.1911
Epoch 29/50, Train Loss: 0.1102, Validation Loss: 0.2028
Epoch 30/50, Train Loss: 0.1124, Validation Loss: 0.2063
